,id,created_at,text,clean_text,cleaned_word_list
41,1235304031125417987,2020-03-04 20:40:06,"b'Last month, President Trump named Richard Grenell the acting director of national intelligence for the U.S.\n\nGrenel\xe2\x80\xa6 https://t.co/WHBzKStwqk'",last month  president trump named richard grenell the acting director of national intelligence for the u s        ,last mon presid trump nam richard grenel act direct nat intellig
42,1235303766104199168,2020-03-04 20:39:03,"b'@curtwoodward Thanks. You raised an important point. Our marketing team buys against key words such as ""news subscr\xe2\x80\xa6 https://t.co/1NXy78nOWN'",  thanks  you raised an important point  our marketing team buys against key words such as  news subscr     ,thank rais import point market team buy key word new subscr
43,1235301516464082944,2020-03-04 20:30:06,"b'Bloomberg News has lifted its coverage restrictions after its founder, Mike Bloomberg, dropped out of the president\xe2\x80\xa6 https://t.co/o5XFt5c5Ui'",bloomberg news has lifted its coverage restrictions after its founder  mike bloomberg  dropped out of the president     ,bloomberg new lift cov restrict find mik bloomberg drop presid
44,1235298997050494977,2020-03-04 20:20:06,"b'Hundreds of millions of students around the globe are out of school as provinces, cities and towns work to contain\xe2\x80\xa6 https://t.co/Wf3LJZOXPd'",hundreds of millions of students around the globe are out of school as provinces  cities and towns work to contain     ,hundr mil stud around glob school provint city town work contain
45,1235296471848714242,2020-03-04 20:10:04,b'Hundreds of thousands of single-family homes are now in the hands of giant companies \xe2\x80\x94 squeezing renters for revenu\xe2\x80\xa6 https://t.co/cBqYv5QIoH',hundreds of thousands of single family homes are now in the hands of giant companies     squeezing renters for revenu     ,hundr thousand singl famy hom hand giant company squeez rent revenu
46,1235294698992005122,2020-03-04 20:03:01,"b'Breaking News: Italy is closing all schools, from day cares to universities, as the coronavirus outbreak spreads.\xe2\x80\xa6 https://t.co/RypqVRiO1W'",breaking news  italy is closing all schools  from day cares to universities  as the coronavirus outbreak spreads      ,break new ita clos school day car univers coronavir outbreak spread
47,1235293981971488780,2020-03-04 20:00:10,"b'Joe Biden had a strong showing on Super Tuesday. Our politics reporter @AlexBurnsNYT explains why, and how a pair o\xe2\x80\xa6 https://t.co/IRaGEoAOkp'",joe biden had a strong showing on super tuesday  our politics reporter   explains why  and how a pair o     ,joe bid strong show sup tuesday polit report explain pair
48,1235288934126620673,2020-03-04 19:40:07,"b'\xe2\x80\x9cIt is deeply concerning and distressing to see one\xe2\x80\x99s own community, one\xe2\x80\x99s own neighbors, dealing with a challenge\xe2\x80\xa6 https://t.co/ucjwLEVGXy'",    is deeply concerning and distressing to see one    own community  one    own neighbors  dealing with a challenge     ,deeply concern distress see on commun on neighb deal challeng
49,1235286412045545473,2020-03-04 19:30:05,b'Officials in Los Angeles County declared a local state of emergency to help respond to cases of the coronavirus. \xe2\x80\x9cT\xe2\x80\xa6 https://t.co/YseIIiCXhe',officials in los angeles county declared a local state of emergency to help respond to cases of the coronavirus          ,off los angel county decl loc stat emerg help respond cas coronavir
50,1235285148482101248,2020-03-04 19:25:04,"b'Rep. Henry Cuellar of Texas, an eight-term incumbent and one of the most conservative Democrats in Congress, narrow\xe2\x80\xa6 https://t.co/xdp8dKOLJC'",rep  henry cuellar of texas  an eight term incumbent and one of the most conservative democrats in congress  narrow     ,rep henry cuell texa eight term incumb on conserv democr congress narrow
51,1235283891029790720,2020-03-04 19:20:04,"b'General Motors on Wednesday laid out a comprehensive plan to produce affordable electric vehicles, including severa\xe2\x80\xa6 https://t.co/j7rDNh72Aq'",general motors on wednesday laid out a comprehensive plan to produce affordable electric vehicles  including severa     ,gen mot wednesday lay comprehend plan produc afford elect vehic includ sever
52,1235281640085229568,2020-03-04 19:11:08,"b""Breaking News: The CDC has broadened the guidelines for coronavirus testing: Anyone with symptoms and a doctor's ap\xe2\x80\xa6 https://t.co/ReFoWbYPSu""",breaking news  the cdc has broadened the guidelines for coronavirus testing  anyone with symptoms and a doctor s ap     ,break new cdc broad guidelin coronavir test anyon symptom doct ap
53,1235280645779312640,2020-03-04 19:07:11,b'RT @sskerrr: We finally are on the other side of #SuperTuesday! @AlexBurnsNYT is here to break down what it all means: https://t.co/h5DBloK\xe2\x80\xa6',rt    we finally are on the other side of      is here to break down what it all means      ,rt fin sid break mean
54,1235278899912814592,2020-03-04 19:00:14,"b'In Opinion\n\nMichelle Cottle writes, \xe2\x80\x9cAfter all the tumult, the Democratic race has come down to this: Two straight\xe2\x80\xa6 https://t.co/kP7WQ5f88E'",in opinion   cottle writes      all the tumult  the democratic race has come down to this  two straight     ,opin cottl writ tumult democr rac com two straight
55,1235273816202530816,2020-03-04 18:40:02,b'A coalition of activists determined to end the dairy industry has been using the Democratic primaries to get attent\xe2\x80\xa6 https://t.co/ZcnkgdA3Il',a coalition of activists determined to end the dairy industry has been using the democratic primaries to get attent     ,coalit act determin end dairy industry us democr prim get at
56,1235269234604769281,2020-03-04 18:21:50,b'U.S. lawmakers reached a deal to provide $8.3 billion in emergency aid to combat the coronavirus. The House will vo\xe2\x80\xa6 https://t.co/zKSgzDbDCn',u s  lawmakers reached a deal to provide      billion in emergency aid to combat the coronavirus  the house will vo     ,lawmak reach deal provid bil emerg aid comb coronavir hous vo
57,1235268801597497344,2020-03-04 18:20:07,"b'""For the first time in this campaign, you really have the 2 wings of the Democratic Party organized under a pair of\xe2\x80\xa6 https://t.co/oWHVKi7zla'", for the first time in this campaign  you really have the   wings of the democratic party organized under a pair of     ,first tim campaign real wing democr party org pair
58,1235268076196827137,2020-03-04 18:17:14,b'RT @NYTmag: Hundreds of thousands of single-family homes are now in the hands of giant companies \xe2\x80\x94 squeezing renters for revenue and puttin\xe2\x80\xa6',rt    hundreds of thousands of single family homes are now in the hands of giant companies     squeezing renters for revenue and puttin   ,rt hundr thousand singl famy hom hand giant company squeez rent revenu puttin
59,1235266100402827271,2020-03-04 18:09:23,b'Los Angeles County has identified 6 new cases of the coronavirus and declared a local state of emergency.\n\nFollow t\xe2\x80\xa6 https://t.co/281DIeNnHE',los angeles county has identified   new cases of the coronavirus and declared a local state of emergency    t     ,los angel county ident new cas coronavir decl loc stat emerg
60,1235263803031457793,2020-03-04 18:00:15,"b'Bernie Sanders had an advantage on Super Tuesday that he will not see again, writes @Nate_Cohn for @UpshotNYT: Earl\xe2\x80\xa6 https://t.co/BIOpS9nF7Y'",bernie sanders had an advantage on super tuesday that he will not see again  writes   for    earl     ,berny sand adv sup tuesday see writ earl
61,1235258723586707461,2020-03-04 17:40:04,"b""The Louvre has reopened after a 3-day closure over coronavirus fears. It's become an example of how large museums c\xe2\x80\xa6 https://t.co/5KS2YFAtjx""",the louvre has reopened after a   day closure over coronavirus fears  it s become an example of how large museums c     ,louvr reop day clos coronavir fear becom exampl larg museum
62,1235256955352109056,2020-03-04 17:33:02,"b'The producers of the James Bond movie franchise said that the release of the latest film, \xe2\x80\x9cNo Time To Die,\xe2\x80\x9d\xc2\xa0would b\xe2\x80\xa6 https://t.co/VFtAF4zyWe'",the producers of the james bond movie franchise said that the release of the latest film      time to die       b     ,produc jam bond movy franch say releas latest film tim die
63,1235253689671208962,2020-03-04 17:20:04,"b'In Opinion\n\nPamela Druckerman writes that since Benjamin Griveaux left Paris\'s mayor\'s race, ""the country has plung\xe2\x80\xa6 https://t.co/xFZsfjSpDD'",in opinion   druckerman writes that since benjamin griveaux left paris  s mayor  s race   the country has plung     ,opin druckerm writ sint benjamin griveaux leave par may rac country plung
