screen_name,followers,friends,total_tweets

KC24242968,4,55,7

ArifulArnob,25,215,87

RayChang4444,6,184,0

TChwedorczuk,1,9,0

SalSilv75108495,4,174,0

BrayekWissam,0,69,1

Dragos01559982,1,12,0

Emmx2039,0,707,3405

Localgay14,0,43,0

MedanRosa,2,44,13

JohnBus62152605,2,11,13

thomi0177,13,64,451

achow1414,1750,508,18961

Ahmedsaaddin,21,89,13

ikaros2021,3,11,29

SudhirMori1,0,115,0

grabstox,562,99,1262

ArinaLen,2,26,14

clauskortermann,3,56,64

Makin29792338,0,36,0

Jooch17,4,200,6

TommyGruppi,2,16,0

360MediaDirect,5,111,33

KAhlavat,11,602,35

iGui469,4,36,10

TouvinR,0,8,0

Noobsta55643337,0,34,0

King87604710,0,148,4

cole14571572,1,43,0

SinanKu43759445,0,88,0

Guido29307242,5,72,12

Agera406,8,119,227

familo8,1,37,0

hakanblinders,0,28,0

YosephHabte1,7,80,26

Mariam38703654,1,106,0

Alex64987502,0,18,0

AgencyKinetik,3,17,0

emily0128,0,166,9

rrayan_10,30,217,447

Catalinca3,3,39,0

Kevinga18215985,5,70,15

gunfreak345,2,41,11

jentadbeauty,4,44,0

hasanen_sh,5,97,2

JawinderSamra,3,28,27

ElimarG82640291,2,63,0

AjayCha84815071,2,26,1

Paul12329488,0,30,0

ermanbayirr,3,53,0

NoBSPlease2,1,30,2

derellgeide,2,42,66

Justinpandanni1,4,88,0

bGgqeH6S2iA8Req,1,40,1

akshaygowda1998,1,32,0

ImazBhat1,1,31,0

SalianVaibhav,0,17,0

Aditya66503427,2,16,0

GabeMil94417056,3,23,0

DivamSood,2,54,4

shv1211,0,47,0

Ebuzer_07,14,70,488

Patrici21585375,3,40,0

JohnnyM37775541,0,23,0

filmmakerpr,406,1885,25497

JayMend72210061,1,13,0

C48778576,0,72,0

Aakash41124785,0,101,0

AkashPu37945266,0,30,0

fk6nlRVaUCgjFHA,2,30,0

TheSchlags,79,397,372

usafc17,1,64,4

Jeff66444454,2,128,0

Vinodh61235421,0,2,0

Diamondbacked8,1,20,4

AnoopP44476218,1,18,0

carmenmguadalu1,0,29,0

burt_maclinfbi,4,45,5

squadishard,0,7,0

AAsumogi,11,67,68

scottkahler1618,63,851,17

DelveyJosephine,0,35,3

NZI880WHq0sKGaF,1,46,2

KevinGr11878165,0,4,0

NmetiBalzs1,0,48,0

KingJr61076135,13,170,1

oiraMBO,31,281,223

Irshamohd2,0,13,0

PankajK96703196,0,40,0

BrijpalSinghCh7,2,30,0

razefsha,1,51,0

LukePol79895350,0,41,1

