,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
2564,2564,1222206452116414465,tonight new teen mom meet new friend jayden,mom friend jayden
2565,2565,1222198691106316293,taking names preparing bless us hits,names bless hits
2566,2566,1222198271273324545,writing reasons hold grudge,reasons grudge
2567,2567,1222195020624748544,ugh cece makes emotional wreck,cece wreck
2568,2568,1222187582005469184,really proud say feel strongest ever felt,feel
2569,2569,1222186040271822853,style class perfection etc,style class perfection etc
2571,2571,1222185851410636802,want answers,want answers
2572,2572,1222174797016305670,currently streaming ft staring pics justin,ft pics justin
2573,2573,1222157382379171840,feel knowing giving us another album,feel album
2574,2574,1222000023728218112,tysm content,tysm content
2575,2575,1221961087177768961,amaze,amaze
2576,2576,1221945986437779456,cleaned house last night,house night
2577,2577,1221930887056486401,dreams made,dreams
2578,2578,1221929114162077696,rt know thinking spoiler hey spoiler alert seen anything yet buckle see wh,rt spoiler hey spoiler alert anything see wh
2579,2579,1221907488859095043,rt honor billie eilish massive night tested panelists,rt honor billie night panelists
2580,2580,1221900687187025926,thank bts content,thank bts content
2581,2581,1221879815302721538,remembering life legacy kobe bryant,life legacy kobe bryant
2582,2582,1221869848801763329,relatable moment,moment
2583,2583,1221869775892230147,kaiti great advice tysm,advice tysm
2584,2584,1221868644361297920,google drive please enjoy meme thread meantime,google drive please thread meantime
2585,2585,1221867661057036290,growth proud,growth proud
2586,2586,1221865072005472257,set started turning bts showed ugghhhh,set bts
2587,2587,1221864754043592706,ugghhh yes glam bot vid,yes bot vid
2588,2588,1221864628189310977,community stans,community stans
2589,2589,1221864548841480192,would like join,join
2590,2590,1221864231655657474,dittoooooo,dittoooooo
2591,2591,1221864116870164481,sooooo perfecttttt,sooooo perfecttttt
2592,2592,1221863930496155653,see person,person
2593,2593,1221854262390665218,help stop watching vid singing steal girl one direction,help singing steal direction
2594,2594,1221840292183203843,another award show pics together,award show pics
2595,2595,1221825191862468614,think lil moment favorite part performance,moment part performance
2596,2596,1221810094838558721,monday least pics help us day,monday pics day
2597,2597,1221794990638034947,guys create beautiful music guys create connectivity,guys music guys connectivity
2598,2598,1221779892615946247,yes lost stopped kiss danielle performance,danielle performance
2599,2599,1221764794253922304,icymi full list winners last night,list winners night
2600,2600,1221668445756018690,shortage love kobe bryant gianna tonight,shortage kobe gianna tonight
2601,2601,1221665316029288448,present story parts,story parts
2602,2602,1221661573850238976,framing photo,photo
2603,2603,1221658790485004288,rt watch mtv news live show right,rt watch mtv news show right
2604,2604,1221656857598726144,collab would like see,collab
2605,2605,1221654127836528643,record year goes,record year
2606,2606,1221653618488741893,congrats taking home album year fall asleep,congrats home album year fall asleep
2607,2607,1221651770352553984,power photo unmatched,power photo
2608,2608,1221650969362096128,anwar hadid set couple goals,hadid couple goals
2609,2609,1221650779641208833,congrats winning best new artist year,congrats artist year
2610,2610,1221648398006222848,stellar night please enjoy boomerang,night please boomerang
2611,2611,1221646545713618944,much love radiating photo,photo
2612,2612,1221645971584700417,love big dress,love dress
2613,2613,1221644328579321857,nipsey hussle win higher,hussle win
2614,2614,1221642248766545921,hey looks great,hey
2615,2615,1221641432437600256,feel great dominating,feel dominating
2616,2616,1221639988128907266,gave us everything performance,everything performance
2617,2617,1221639455938957312,congrats winning song year,congrats year
2618,2618,1221637117480185857,marathon continues touching tribute,marathon tribute
2619,2619,1221634433024851969,love kings queens support,kings support
2620,2620,1221633736766382082,speechless understatement thank bravery,thank bravery
2621,2621,1221633275829129216,star studded performance roster included,star performance roster
2622,2622,1221631972805632003,listening love,love
2623,2623,1221631526686818305,kobe jersey showing performance everything,kobe jersey performance everything
2624,2624,1221627464100859904,official mood best rap album,mood rap album
2625,2625,1221626313938817024,getting ready take stage,take stage
